Occupation Title,ESCO Code,Description,Alternative Labels,Essential Skills (Skill),Essential Skills (Knowledge),Optional Skills (Skill),Optional Skills (Knowledge),
integration engineer,2511.16,Integration engineers develop and implement solutions which coordinate applications across the enterprise or its units and departments. They evaluate existing components or systems to determine integration requirements and ensure that the final solutions meet organisational needs. They reuse components when possible and assist management in taking decisions. They perform ICT system integration troubleshooting.,"software integration engineer, ICT integration engineers, IT integration engineer, system integration engineer","integrate system components, define integration strategy, apply ICT system usage policies, analyse network bandwidth requirements, provide technical documentation, use scripting programming, apply company policies, manage ICT system deployment, design component interfaces","ICT system user requirements, ICT communications protocols, software components suppliers, procurement of ICT network equipment, hardware components suppliers, ICT project management methodologies","design computer network, adapt to changing situations, communicate with customers, utilise computer-aided software engineering tools, perform project management","ICT system integration, SAP R3, Cisco, AJAX, tools for software configuration management, PHP, STAF, embedded systems, Ansible, solution deployment, Apache Maven, Ruby (computer programming), ASP.NET, Vagrant, ICT debugging tools, Jenkins (tools for software configuration management), Python (computer programming), Lean project management, Scala, OpenEdge Advanced Business Language, ABAP, ICT system programming, information security strategy, C#, Java (computer programming), Groovy, hardware components, Pascal (computer programming), Lisp, Agile project management, Swift (computer programming), Objective-C, interfacing techniques, systems development life-cycle, Common Lisp, ICT infrastructure, Scratch (computer programming), JavaScript, ICT recovery techniques, Prolog (computer programming), MATLAB, information architecture, ML (computer programming), tools for ICT test automation, Perl, ICT network routing, Assembly (computer programming), C++, Salt (tools for software configuration management), APL, Microsoft Visual C++, computer programming, Visual Studio .NET, engineering processes, R, SAS language, COBOL, software components libraries, Process-based management, Haskell, Puppet (tools for software configuration management)",
search engine optimisation expert,2513.2,Search engine optimisation experts increase the ranking of a company's web pages with regard to target queries in a search engine. They create and launch SEO campaigns and identify areas of improvement. Search engine optimisation experts may conduct pay per click (PPC) campaigns.,"search engine optimisation specialist, SEO specialist, search engine marketing specialist, search engine optimisation consultant, SEO expert, growth hacker, search engine optimisation experts, search engine optimiser, SEO experts, inbound marketer","use customer relationship management software, apply social media marketing, conduct search engine optimisation, perform online data analysis, integrate content into output media, enhance website visibility, provide written content, manage content development projects","social media marketing techniques, content marketing strategy, sales strategies, keywords in digital content, web analytics","execute email marketing, perform market research, create content title, provide cost benefit analysis reports, plan digital marketing, identify ICT user needs, use different communication channels, translate requirement concepts into visual design, use content management system software, study website behaviour patterns","digital marketing techniques, mobile marketing, behavioural science",
ICT test analyst,2519.5,"ICT test analysts work in testing environments, assessing products, checking for quality and accuracy, or creating tests scripts. They design tests which are then implemented by testers.","IT test analyst, test designer","report test findings, set quality assurance objectives, replicate customer software issues, develop ICT test suite, execute software tests, provide software testing documentation, plan software testing, address problems critically",levels of software testing,"conduct ICT code review, perform quality audits, measure software usability, apply statistical analysis techniques, perform software recovery testing, debug software, manage schedule of tasks, give live presentation, develop automated software tests, use scripting programming","LINQ, XQuery, Lean project management, Process-based management, visual presentation techniques, ICT debugging tools, tools for ICT test automation, MDX, SPARQL, LDAP, query languages, N1QL, ICT performance analysis methods, Agile project management, resource description framework query language, ICT project management methodologies, decision support systems",
digital forensics expert,2529.2,"Digital forensics experts retrieve and analyse information from computers and other types of data storage devices. They examine digital media that may have been hidden, encrypted or damaged, in a forensic manner with the aim to identify, preserve, recover, analyse and present facts and opinions about the digital information.","information forensics expert, cyber forensics expert, digital forensics specialist, digital forensics experts, digital forensic expert, ICT forensics expert, computer forensics investigator, digital forensics analyst, computer forensics expert","manage data for legal matters, gather data for forensic purposes, secure sensitive customer's information, perform forensic preservations of digital devices, provide ICT consulting advice, use software for data preservation, implement ICT network diagnostic tools, develop information security strategy, educate on data confidentiality, manage IT security compliances, use scripting programming, perform security vulnerability assessments, identify ICT security risks","ICT security standards, computer forensics, ICT network security risks, query languages, penetration testing tool, resource description framework query language, information confidentiality","design computer network, perform data mining, use different communication channels","cloud technologies, ICT security legislation, hardware architectures, LINQ, Nessus, hardware platforms, information security strategy, SPARQL, information architecture, MDX, data storage, ICT encryption, N1QL, XQuery, WhiteHat Sentinel, LDAP, legal requirements of ICT products, Nexpose",
ICT security consultant,2529.6,"ICT security consultants advise and implement solutions to control access to data and programs. They promote a safe exchange of information.
","IT security expert, ICT security advisor, information communications technology security consultant, ICT security consultants, IT security advisor, IT security consultant, consultant in ICT security activities, information technology security consultant","provide ICT consulting advice, educate on data confidentiality, develop information security strategy, manage disaster recovery plans, define security policies, keep task records, implement ICT risk management, report test findings, analyse ICT system, define technical requirements, identify ICT security risks, perform risk analysis, verify formal ICT specifications, manage IT security compliances, execute software tests, execute ICT audits, identify ICT system weaknesses, monitor system performance, keep up with the latest information systems solutions","cyber attack counter-measures, organisational resilience, information security strategy, ICT security legislation, ICT security standards","manage changes in ICT system, track key performance indicators, lead disaster recovery exercises, provide user documentation, optimise choice of ICT solution, ensure proper document management, give live presentation, create project specifications, perform project management, manage ICT change request process","web application security threats, Process-based management, Lean project management, copyright legislation, internet governance, ICT encryption, ICT process quality models, Agile project management, Internet of Things, ICT project management methodologies",
ICT disaster recovery analyst,2519.3,"ICT disaster recovery analysts develop, maintain, and implement ICT continuity and disaster recovery strategies and solutions. They support the technical teams, assess the risks, design and develop procedures, documentation and strategies for disaster recovery in order for business functions to continue and recover with a minimal loss of data. They also coordinate the system backups tests and validations.","ICT resilience analysts, business continuity strategist, business continuity analyst, IT resilience analyst, IT disaster recovery analyst, disaster recovery officer","identify ICT security risks, apply company policies, report analysis results, optimise choice of ICT solution, manage system security, implement ICT recovery system, define security policies, conduct impact evaluation of ICT processes on business, develop information security strategy, manage disaster recovery plans, perform backups, manage IT security compliances, maintain plan for continuity of operations, build business relationships","ICT problem management techniques, ICT recovery techniques, product usage risks analysis, ICT debugging tools, system backup best practice, ICT performance analysis methods","manage staff, give live presentation","ICT power consumption, iOS, ICT process quality models, cyber security, Windows Phone, software anomalies, levels of software testing, mobile operating systems, cyber attack counter-measures, internal risk management policy, information security strategy, organisational resilience, network management system tools, unstructured data, ICT network security risks, ICT infrastructure, ICT communications protocols, hardware architectures, BlackBerry, Android (mobile operating systems)",
embedded system designer,2511.4,Embedded system designers translate and design requirements and the high-level plan or architecture of an embedded control system according to technical software specifications.,"embedded software developer, embedded systems designers, embedded systems developer, embedded systems programmer, embedded system programmer, embedded system developer","define technical requirements, analyse software specifications, interpret electronic design specifications, provide ICT consulting advice, create flowchart diagram, create software design, develop creative ideas","signal processing, systems development life-cycle, engineering control theory, tools for software configuration management, ICT communications protocols, embedded systems, task algorithmisation, real-time computing","verify formal ICT specifications, provide technical documentation, build business relationships, utilise computer-aided software engineering tools, collect customer feedback on applications","Jenkins (tools for software configuration management), Salt (tools for software configuration management), ICT system integration, hardware architectures, engineering processes, JavaScript, MATLAB, Scala, Apache Maven, Visual Studio .NET, Lisp, AJAX, ML (computer programming), ASP.NET, C#, VBScript, ABAP, Smalltalk (computer programming), Swift (computer programming), STAF, PHP, ICT network simulation, Common Lisp, Ruby (computer programming), Assembly (computer programming), Ansible, field-programmable gate arrays, TypeScript, tools for ICT test automation, software components libraries, R, ICT security standards, SAS language, Puppet (tools for software configuration management), C++, Groovy, Pascal (computer programming), Haskell, SAP R3, Microsoft Visual C++, Java (computer programming), CoffeeScript, Erlang, OpenEdge Advanced Business Language, Scratch (computer programming), COBOL, Objective-C, Prolog (computer programming), Perl, APL, Python (computer programming), network management system tools, computer programming, hardware components",
software tester,2519.6,Software testers perform software tests. They may also plan and design them. They may also debug and repair software although this mainly corresponds to designers and developers. They ensure that applications function properly before delivering them to internal and external clients.,"application software tester, unit tester, application tester, software application tester, tester, module tester, software testers, software testing specialist, soft tester","address problems critically, execute software tests, perform software unit testing, replicate customer software issues, provide software testing documentation, report test findings","software anomalies, software metrics, software architecture models, levels of software testing","perform software recovery testing, conduct ICT code review, plan software testing, measure software usability, debug software, manage schedule of tasks, develop automated software tests, develop ICT test suite, execute integration testing, use scripting programming","Erlang, VBScript, Microsoft Visual C++, Groovy, Process-based management, Lisp, Visual Studio .NET, TypeScript, Lean project management, ICT project management methodologies, Smalltalk (computer programming), MDX, Prolog (computer programming), Assembly (computer programming), Python (computer programming), Ruby (computer programming), ABAP, ICT debugging tools, ML (computer programming), CoffeeScript, query languages, Scratch (computer programming), software components libraries, audit techniques, Pascal (computer programming), computer programming, COBOL, Java (computer programming), ICT performance analysis methods, unstructured data, MATLAB, OpenEdge Advanced Business Language, tools for ICT test automation, Agile project management, SAS language, Scala, N1QL, Haskell, PHP, C++, C#, JavaScript, SAP R3, Common Lisp, resource description framework query language, LINQ, ASP.NET, Swift (computer programming), application usability, SPARQL, LDAP, R, Objective-C, APL, hardware components, XQuery, Perl, AJAX",
data warehouse designer,2521.5,"Data warehouse designers are responsible for planning, connecting, designing, scheduling, and deploying data warehouse systems. They develop, monitor and maintain ETL processes, reporting applications and data warehouse design.","data warehouse architect, data warehouse developer","manage database, write database documentation, define technical requirements, design database scheme, migrate existing data, create database diagrams, create software design, operate relational database management system, develop automated migration methods, create data sets, use markup languages, analyse business requirements, apply ICT systems theory, manage standards for data exchange, assess ICT knowledge","database development tools, query languages, ICT security legislation, resource description framework query language, database, web programming, data warehouse, systems theory, business process modelling, database management systems, information structure","respond to customers' inquiries, develop reporting software, design user interface, apply technical communication skills, define database physical structure, build business relationships, design database backup specifications, perform resource planning, perform data analysis, use access control software","Teradata Database, C#, Prolog (computer programming), Process-based management, Assembly (computer programming), Java (computer programming), unstructured data, PostgreSQL, MDX, JavaScript, PHP, Haskell, Oracle Relational Database, Microsoft Visual C++, ObjectStore, Lean project management, LINQ, Perl, Smalltalk (computer programming), Swift (computer programming), ICT project management methodologies, N1QL, TypeScript, ASP.NET, SQL Server, Microsoft Access, SAS language, MySQL, computer programming, Filemaker (database management systems), LDAP, Lisp, SAP R3, Scratch (computer programming), OpenEdge Database, Erlang, MATLAB, OpenEdge Advanced Business Language, XQuery, IBM Informix, R, data models, AJAX, Ruby (computer programming), VBScript, Groovy, Python (computer programming), Objective-C, product data management, SPARQL, Pascal (computer programming), Agile project management, Common Lisp, COBOL, APL, CA Datacom/DB, ABAP, Scala, DB2, Visual Studio .NET, ML (computer programming), CoffeeScript, C++",
green ICT consultant,2511.6,"Green ICT consultants advise organisations on their green ICT strategy and its implementation in the most effective and efficient manner to allow the organisation to reach their short, mid, and long term ICT environmental objectives.","green IT consultant, ICT sustainability systems consultant, IT environmental consultant, ICT environmental consultant, green ICT consultants","promote environmental awareness, provide ICT consulting advice, manage environmental impact of operations, optimise choice of ICT solution, apply business acumen, report on environmental issues, create project specifications, consult with business clients, define technical requirements, ensure compliance with environmental legislation",ICT environmental policies,"track key performance indicators, advise on environmental remediation","legal requirements of ICT products, software components suppliers, ICT sales methodologies, hardware components suppliers, emergent technologies, ICT power consumption, copyright legislation, ICT market",
data scientist,2511.3,"Data scientists find and interpret rich data sources, manage large amounts of data, merge data sources, ensure consistency of data-sets, and create visualisations to aid in understanding data. They build mathematical models using data, present and communicate data insights and findings to specialists and scientists in their team and if required, to a non-expert audience, and recommend ways to apply the data.","data scientists, data engineer, research data scientist, data expert, data research scientist","perform data cleansing, develop data processing applications, execute analytical mathematical calculations, manage data collection systems, collect ICT data, implement data quality processes, build recommender systems, interpret current data, report analysis results, deliver visual presentation of data, design database scheme, normalise data, handle data samples, establish data processes","online analytical processing, query languages, information categorisation, data models, resource description framework query language, visual presentation techniques, statistics, data mining, information extraction","perform data mining, manage ICT data architecture, manage data, create data models, manage ICT data classification, define data quality criteria, integrate ICT data","unstructured data, data quality assessment, XQuery, LINQ, N1QL, MDX, LDAP, SPARQL, business intelligence",
chief ICT security officer,2529.1,"Chief ICT security officers protect company and employee information against unauthorized access. They also define the Information System security policy, manage security deployment across all Information Systems and ensure the provision of information availability.","fead of IT security, chief information security officer, chief ICT security officers, head IT security officer, CISO","lead disaster recovery exercises, manage IT security compliances, ensure adherence to organisational ICT standards, utilise decision support system, ensure information privacy, manage disaster recovery plans, maintain plan for continuity of operations, ensure compliance with legal requirements, monitor technology trends, implement corporate governance, implement ICT risk management","information security strategy, ICT network security risks, decision support systems, organisational resilience, cyber security, ICT security standards, ICT security legislation, audit techniques","train employees, manage staff, use different communication channels, optimise choice of ICT solution, create solutions to problems, coordinate technological activities","ML (computer programming), C#, C++, Swift (computer programming), APL, ICT system user requirements, ICT process quality models, Visual Studio .NET, Ruby (computer programming), ABAP, Python (computer programming), Lisp, Groovy, CoffeeScript, PHP, Perl, Java (computer programming), SAS language, cyber attack counter-measures, Smalltalk (computer programming), internet governance, Microsoft Visual C++, ICT encryption, Pascal (computer programming), Haskell, SAP R3, MATLAB, Assembly (computer programming), ASP.NET, software anomalies, Internet of Things, Scratch (computer programming), computer programming, Prolog (computer programming), OpenEdge Advanced Business Language, ICT recovery techniques, AJAX, R, computer forensics, COBOL, VBScript, TypeScript, Common Lisp, tools for ICT test automation, JavaScript, Scala, World Wide Web Consortium standards, Erlang, web application security threats, Objective-C",
enterprise architect,2511.5,"Enterprise architects balance technological opportunities with business requirements. They also maintain a holistic view of the organisation's strategy, processes, information and ICT assets and link the business mission, strategy and processes to the ICT strategy.","enterprise developer, enterprise architects, enterprise architecture manager, enterprise designer","design information system, review development process of an organisation, keep up with the latest information systems solutions, execute feasibility study, align software with system architectures, manage ICT data architecture, design enterprise architecture, apply ICT system usage policies, perform project management, collect customer feedback on applications, provide ICT consulting advice, define software architecture, perform risk analysis","ICT architectural frameworks, information architecture, ICT project management methodologies, legal requirements of ICT products, business strategy concepts, ICT market, object-oriented modelling","optimise choice of ICT solution, coordinate technological activities, apply conflict management, build business relationships, monitor technology trends, manage staff, use different communication channels, apply information security policies, provide cost benefit analysis reports, analyse business requirements","Lean project management, emergent technologies, Waterfall development, Scratch (computer programming), JavaScript, ML (computer programming), Spiral development, APL, Visual Studio .NET, COBOL, Groovy, software architecture models, Process-based management, unified modelling language, PHP, CoffeeScript, Lisp, Ruby (computer programming), business process modelling, Objective-C, C#, MATLAB, DevOps, ABAP, Scala, business requirements techniques, Smalltalk (computer programming), R, Python (computer programming), Swift (computer programming), Pascal (computer programming), Agile development, AJAX, Microsoft Visual C++, OpenEdge Advanced Business Language, Perl, Assembly (computer programming), Iterative development, Common Lisp, software design methodologies, Java (computer programming), SAP R3, Prolog (computer programming), SAS language, VBScript, Agile project management, TypeScript, C++, Erlang, computer programming, Haskell, ASP.NET, Incremental development, Rapid application development, Prototyping development",
mobile application developer,2514.2.2,"Mobile app developers implement applications software for mobile devices, based on the designs provided, using general or specific development tools for device operating systems.","app developer, mobile app specialist, mobile app developer, mobile application developers, app programmer, app coder","utilise computer-aided software engineering tools, collect customer feedback on applications, use software design patterns, develop automated migration methods, use software libraries, migrate existing data, develop software prototype, debug software, analyse software specifications, interpret technical texts, create flowchart diagram","computer programming, mobile operating systems, Internet of Things, ICT debugging tools, tools for software configuration management, integrated development environment software","identify customer requirements, use concurrent programming, design user interface, integrate system components, use functional programming, use object-oriented programming, use logic programming, develop creative ideas, use automatic programming, adapt to changes in technological development plans","Xcode, VBScript, Python (computer programming), Eclipse (integrated development environment software), COBOL, Puppet (tools for software configuration management), TypeScript, Android (mobile operating systems), ABAP, BlackBerry, JavaScript, Visual Studio .NET, Salt (tools for software configuration management), CoffeeScript, Common Lisp, Lisp, Perl, APL, C#, Smalltalk (computer programming), Prolog (computer programming), Microsoft Visual C++, KDevelop, C++, R, OpenEdge Advanced Business Language, MATLAB, Scala, software anomalies, PHP, mobile device software frameworks, ICT security legislation, Scratch (computer programming), Jenkins (tools for software configuration management), iOS, Haskell, Java (computer programming), Ruby (computer programming), AJAX, Groovy, Swift (computer programming), STAF, Pascal (computer programming), SAP R3, Ansible, Assembly (computer programming), SAS language, Apache Maven, object-oriented modelling, World Wide Web Consortium standards, Windows Phone, Erlang, ASP.NET, ML (computer programming), Objective-C",
digital games tester,2519.6.1,Digital games testers review and test various genres of digital games by playing them in order to find bugs and glitches within the game's functionality or graphics. They may evaluate the capacity of attraction and playability of games. They may also debug the games themselves.,"digital game tester, virtual games tester, digital games testers, computer games tester, video games tester","address problems critically, execute software tests, report test findings, provide software testing documentation, replicate customer software issues","software anomalies, levels of software testing, digital game genres, application usability","perform software recovery testing, manage schedule of tasks, measure software usability, use scripting programming, debug software, conduct ICT code review, develop ICT test suite, develop automated software tests","Agile project management, human-computer interaction, SPARQL, software interaction design, XQuery, LDAP, LINQ, MDX, tools for ICT test automation, Lean project management, Process-based management, principles of animation, resource description framework query language, query languages, N1QL, ICT debugging tools, ICT project management methodologies",
